INFO 2023-04-11 06:55:09,566 "GET /static/admin/css/forms.css HTTP/1.1" 200 8944
INFO 2023-04-11 06:55:09,592 "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2023-04-11 06:55:09,642 "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
INFO 2023-04-11 06:55:09,677 "GET /static/admin/js/core.js HTTP/1.1" 304 0
INFO 2023-04-11 06:55:09,704 "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
INFO 2023-04-11 06:55:09,718 "GET /static/admin/js/actions.js HTTP/1.1" 304 0
INFO 2023-04-11 06:55:09,738 "GET /static/admin/js/calendar.js HTTP/1.1" 200 8466
INFO 2023-04-11 06:55:09,753 "GET /static/admin/js/jquery.init.js HTTP/1.1" 304 0
INFO 2023-04-11 06:55:09,773 "GET /static/admin/js/urlify.js HTTP/1.1" 304 0
INFO 2023-04-11 06:55:09,799 "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 304 0
INFO 2023-04-11 06:55:09,816 "GET /static/admin/js/prepopulate.js HTTP/1.1" 304 0
INFO 2023-04-11 06:55:09,835 "GET /static/admin/css/widgets.css HTTP/1.1" 200 11297
INFO 2023-04-11 06:55:09,848 "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 304 0
INFO 2023-04-11 06:55:09,866 "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 200 586
INFO 2023-04-11 06:55:09,893 "GET /static/admin/js/admin/DateTimeShortcuts.js HTTP/1.1" 200 19379
INFO 2023-04-11 06:55:09,955 "GET /static/admin/fonts/Roboto-Bold-webfont.woff HTTP/1.1" 304 0
INFO 2023-04-11 06:55:09,991 "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 304 0
INFO 2023-04-11 06:55:10,025 "GET /static/admin/fonts/Roboto-Light-webfont.woff HTTP/1.1" 304 0
INFO 2023-04-11 06:55:10,038 "GET /static/admin/fonts/Roboto-Regular-webfont.woff HTTP/1.1" 304 0
INFO 2023-04-11 06:55:10,061 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
INFO 2023-04-11 06:55:10,077 "GET /static/admin/js/change_form.js HTTP/1.1" 200 606
INFO 2023-04-11 06:55:10,133 "GET /static/admin/img/icon-calendar.svg HTTP/1.1" 200 1086
INFO 2023-04-11 12:06:40,257 "GET /admin/finance/receipt/add/ HTTP/1.1" 302 0
INFO 2023-04-11 12:06:40,317 "GET /admin/login/?next=/admin/finance/receipt/add/ HTTP/1.1" 200 2258
INFO 2023-04-11 12:06:40,345 "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
INFO 2023-04-11 12:06:40,348 "GET /static/admin/css/base.css HTTP/1.1" 304 0
INFO 2023-04-11 12:06:40,363 "GET /static/admin/css/fonts.css HTTP/1.1" 304 0
INFO 2023-04-11 12:06:40,368 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
